line,reason,first_seen_line,normalized_username,normalized_url,input
168,duplicate,34,shedntcare_,https://x.com/shedntcare_,https://x.com/shedntcare_
175,duplicate,15,iam_chonchol,https://x.com/iam_chonchol,https://x.com/iam_chonchol
189,duplicate,170,Finance_Nerd_,https://x.com/Finance_Nerd_,https://x.com/Finance_Nerd_
204,duplicate,163,WealthHatch_,https://x.com/WealthHatch_,https://x.com/WealthHatch_
233,duplicate,46,AIwithArsalan,https://x.com/AIwithArsalan,https://x.com/AIwithArsalan
242,duplicate,193,salmakhatunn,https://x.com/salmakhatunn,https://x.com/salmakhatunn
299,duplicate,4,sanchoyai,https://x.com/sanchoyai,https://x.com/sanchoyai
301,duplicate,59,AI_GuruX,https://x.com/AI_GuruX,https://x.com/AI_GuruX
329,duplicate,310,AITECHio,https://x.com/AITECHio,https://x.com/AITECHio
333,duplicate,316,BitmapTech,https://x.com/BitmapTech,https://x.com/BitmapTech
334,duplicate,317,tech_queen,https://x.com/tech_queen,https://x.com/tech_queen
337,duplicate,318,techyoutbe,https://x.com/techyoutbe,https://x.com/techyoutbe
342,duplicate,312,TechBroDrip,https://x.com/TechBroDrip,https://x.com/TechBroDrip
344,duplicate,310,AITECHio,https://x.com/AITECHio,https://x.com/AITECHio
346,duplicate,186,HeyNayeem,https://x.com/HeyNayeem,https://x.com/HeyNayeem
350,duplicate,180,Parul_Gautam7,https://x.com/Parul_Gautam7,https://x.com/Parul_Gautam7
352,duplicate,32,socialwithaayan,https://x.com/socialwithaayan,https://x.com/socialwithaayan
353,duplicate,23,Rixhabh__,https://x.com/Rixhabh__,https://x.com/Rixhabh__
355,duplicate,44,manishkumar_dev,https://x.com/manishkumar_dev,https://x.com/manishkumar_dev
362,duplicate,4,sanchoyai,https://x.com/sanchoyai,https://x.com/sanchoyai
363,duplicate,31,MeeraAIIT,https://x.com/MeeraAIIT,https://x.com/MeeraAIIT
365,duplicate,184,AIwithGhotai,https://x.com/AIwithGhotai,https://x.com/AIwithGhotai
366,duplicate,349,wildbarestepf,https://x.com/wildbarestepf,https://x.com/wildbarestepf
367,duplicate,347,marjidofficial,https://x.com/marjidofficial,https://x.com/marjidofficial
368,duplicate,343,TechXWhizAI,https://x.com/TechXWhizAI,https://x.com/TechXWhizAI
369,duplicate,186,HeyNayeem,https://x.com/HeyNayeem,https://x.com/HeyNayeem
370,duplicate,360,PeterHollens,https://x.com/PeterHollens,https://x.com/PeterHollens
371,duplicate,357,Ronycoder,https://x.com/Ronycoder,https://x.com/Ronycoder
373,duplicate,358,heyBarsee,https://x.com/heyBarsee,https://x.com/heyBarsee
379,duplicate,221,JaynitMakwana,https://x.com/JaynitMakwana,https://x.com/JaynitMakwana
380,duplicate,298,details_with_ai,https://x.com/details_with_ai,https://x.com/details_with_ai
381,duplicate,145,Mastering_life_,https://x.com/Mastering_life_,https://x.com/Mastering_life_
